COLOR,ABBR
ALMOND,AL
ANTIQUE BRASS,AB
ARTIC STAINLESS,AR
BISCUIT,BIS|BI
BLACK,BLK
BLACK MATTE,BM
BLUE,BLU
BRASS,BR
BRONZE,BRZ|BZ
BROWN,BRN
BRUSHED GOLD,BG
BRUSHED NICKEL,BN
CHAMPAGNE BRONZE,CZ
CHROME,CP
CLASSIC STAINLESS,CSL
ENGLISH BRONZE,EB
ENGLISH GOLD,EG
FLAT BLACK,FLT BLK
FRENCH BRASS,FB
GREEN,GRN
ITALIAN BRASS,IB
MATTE BLACK,MB
OIL RUBBED BRONZE,ORB
OLD IRON,OI
ORANGE,ORG
PINK,PNK
POLISHED BRASS,PB
POLISHED CHROME,APC
POLISHED NICKEL,PN
PURPLE,PUR
RUBBED BRONZE,RB
SATIN GOLD,SG
SATIN NICKEL,SN|STN
TUSCAN BRASS,TCB
UNLACQUERED BRASS,ULB
VENITIAN BRONZE,VB
VIBRANT STAINLESS,VS
VIOLET,VIO
WHITE,WHT|DON'T ADD WH HERE
YELLOW,YEL|YLW
GRAY,GRY