DIMENSIONS_TYPE,SYNONYMS
CAPACITY,
CIRCUMFERENCE,
CLEARANCE,
DEPTH,DPTH|DEEP|OVERALL DEPTH
DIAMETER,DIAM|OVERALL DIAMETER|OVERALL DIAM|DIAMETER SIZE|DIAM SIZE
DIMENSION,OVERALL DIMENSION SIZE|OVERALL DIMENSION|PHYSICAL DIMENSION
DISTANCE,
FREE AREA SIZE,FREE AREA
HEIGHT,OVERALL HEIGHT
HORIZONTAL DIMENSION,OVERALL HORIZONTAL DIMENSION
INLET SIZE,
INNER DIAMETER,ID|I.D.|INSIDE DIAMETER|IN DIAM|IN D.|INN DIAM
INSERT DIAMETER,INSERT DIAM
INSERTION LENGTH,
INSIDE DIMENSION,
INSIDE LENGTH,
INSIDE SIZE,
INSIDE WIDTH,
INTERIOR DIMENSION,
INVERT HEIGHT,
IPS SIZE,IPS
LENGTH,LNGTH|LONG|LNG|OVERALL LENGTH
LOWER WIDTH,
MAXIMUM DIAMETER,MAXIMUM DIAM|MAX DIAM
MINIMUM DIAMETER,MINIMUM DIAM|MIN DIAM
NOMINAL CAPACITY,
NOMINAL DIAMETER,NOMINAL DIAM|NOM DIAM
NOMINAL LENGTH,
NOMINAL PIPE SIZE,NOMINAL PIPE SIZE - DECIMAL|NOMINAL PIPE SIZE - FRACTIONAL
NOMINAL SIZE,
OPEN AREA,OPEN AREA SIZE
OPENING DIAMETER,OPENING DIAM|OPEN DIAM
OPENING SIZE,
OUTER DIAMETER,OD|O.D.|OUTSIDE DIAMETER|OUT DIAM|OUT D.
OUTLET SIZE,
OUTSIDE CIRCUMFERENCE,
PROBE LENGTH,
PROBE SIZE,
PROBR LENGTH,
RANGE,
SHAPE,
SIZE A,SIZE_A
SIZE B,SIZE_B
SIZE,
SPACING,
STRETCHED LENGTH,
SURFACE AREA,
THICKNESS,THICK
TOP DIAMETER,TOP DIAM
TOP WIDTH,
WIDTH,WDTH|WTH|WIDE|OVERALL WIDTH
VERTICAL DIMENSION,