MANUFACTURER,SYNONYMS
FAST PARTS DIVISION OF ICP CORP,ECOBEE|FASTPART|FAST PART DIVISION|FAST PARTS
FASTSERV SUPPLY,FASTSERV
FASTSIGNS TEXARKANA,FAST11
FEBCO,FEBCO|FEBI
FEDERAL PROCESS CORP,FEDP|FEDERAL
FERGUSON ENTERPRISES,
FERNCO INC,FERNCO
FERNOX,
FETCO,
FIBER CARE BATHS INC,FIBERCARE|FIBERCAR|FIBER CARE|FIBER CARE BATHS
FIELD CONTROLS INC,FIEC2|FIELD CONTROLS
FIELDPIECE INSTRUMENTS INC,FIELDPC|FIELDPCE
FILTRATION MFG INC,FILT1|FILTMANU
FIRE PROTECTION PROD INC,FPPI
FIRST CO,FIRST_CO|FIRST CHOICE COFFEE|FIRSTCO|FIRST IMPRESSIONS
FISHER & PAYKEL,FISHER PAYKEL
FISHER MFG CO,FISHER
FIVE SEASONS COMFORT LTD,FIVS4|FIVESEA
FIVE TWO ONE INC,FIVT|5TWO1
FLAGSHIP WATER,FLAGSHIP
FLANDERS FILTERS INC,
FLARETITE INC USA,FLARETIT|FLAR
FLASHCO MFG INC,QUIKFLSH|QUIP1
FLEX-HOSE CO INC,FLEH|FLEX HOSE
FLEXIBLE TOOLS INC,FLEXTL|FLEP
FLEXICRAFT IND INC,FLEI|FLXICRFT
FLEXON IND,FLITZ
FLINT & WALLING INC,FLNTWALL|FLIW
FLIPPEN,
FLIR COMM SYSTEMS INC,FLIR|FLIRCOM
FLOMATIC CORP,FLOMATIC|FLOC3
FLOODSTOP,
FLORESTONE PROD CO,FLORESTONE
FLOW MASTER LLC,FLOWMSTR|FLOM1
FLOW-MATIC,FLOWMATICS
FLOWISE,FLOWISE WATER
FLUID SEALING PROD INC,FLUIDSEL|FLUIDSL
FLUIDMASTER INC,FLUIDMST|DC_FLUI|FLUIDMSTR
FLUKE CORP,FLUKE|FLUJ
FLUSHMATE,FLUSHMATE
FMC,FMC FLUID CONTROL|FMCTI CORP
FORMERA,
FORMOSO,
FORNEY,
FORTERRA PIPE AND PRECAST LLC,FORTERRA
FOSTER SALES CO INC,FOSS|FOSTER
FOX VALLEY SYSTEMS INC,FOXVAL|FOXV
FRANKE CONSUMER PROD INC,FRANKE
FRANKLIN CLEANING TECHNOLOGY,LAGASSE
FRANKLIN ELECTRIC CO INC,FRANKLIN|FRANKLIN PUMPS|FRAP2|FRNKLN PMP|FKLNELEC
FRANKLIN MACHINE PROD,FRANKMAC
FREEDOM,FREEDOM SHOWERS|FREEDOM PLASTICS|FREEDOM METALS
FRIEDRICH AIR CONDITIONING CO,FRIEDRIC|FRIEDRICH
FRIGIDAIRE,
FRIGIDAIRE,FRIGAIR
FROGGYS FOG,MISC|MSCTEMP
FROST KING WEATHERSTRIP,FROSTKIN
G & E ENT,GEEN|GEENTERP
G T WATER PROD INC,GT WATER|WATG|GTWATER
G90 MFG,G90MFG
GAJESKE INC,GAJESKE|GAJI
GARDNER BENDER,
GARRISON METAL - MARSHALL,GARRMTL|GARRISON
GARVIN PRODUCTS,
GASOILA,GASOILA
GASTITE PROD DIVISON,GASTITE
GATCO INC,GATI|GATCO
GEBERIT MFG-MICHIGAN CITY,GEBERIT
GEMLINE,GL_JOAC
GENE RICH & CO INC,GENERICH|GENE RICH CO INC
GENERAC POWER SYSTEMS INC,GENERAC
GENERAL ELECTRIC CO,GE|GEAPPL|GEN_ELEC|GENERAL ELECTRIC
GENERAL FILTERS INC,GENF|GENFLTR
GENERAL PLASTICS INC,GENP|GENPLAST
GENERAL WIRE SPRING CO,GENERAL WIRE|GENWIRE|GENEWIRE
GENERIC,
GENESIS METALS,GENM|GENM1|GENESIS
GEO-GLEN ENT INC,GEOG1|GEOGLEN
GEORG FISCHER CENTRAL PLASTICS,CENTPLAS|CENP|GEORG FISCHER
GEORGE KOVACS,KOVACS|KOVG
GERBER PLUMBING FIXTURES LLC,GERBER
GESSI,GESSI
GF PIPING SYSTEMS,
GLASFLOSS IND INC,GLASFLOS|GLASFLOSS
GLOBAL THE SOURCE,
GLOBE FIRE SPRINKLER CORP,GLOBE
GMR FIRE PROTECTION INC,GMRINTL|GMRI
GOLDEN LIGHTING,GOLDEN|GOLDEN LIGHTING
GOLF CART PARTS NIVEL PARTS,GOLF|CARTPART
GOOD WATER WAREHOUSE INC,GOOW|GOODWTR
GOODMAN CO LP,GOODMAN|GOOM
GOSS INC,GOSI|GOSS INC|GOSS
GPI,GASKET AND PACKINGS INC
GPK PROD INC,GPKP|GPKPROD
GRAYBAR,GRAYBAR ELECTRIC
GREAT NECK,
GREAT PACIFIC ELBOW CO,GREATPAC|GRTPAC|GREAT PACIFIC ELBOW
GREEN WAY LABORATORIES INC,MASTICLEAN|GRNWY
GREENHECK FAN CORP,MERCONST|MERC1
GRIFFIN PIPE PROD CO INC,GRIP1|GRFN PRD|GRIFFIN
GRINNELL,GRI2
GROHE,GRHE|GROHE AMERICA INC
GROOMER'S BEST,GROOMERS BEST
GRUNDFOS PUMPS CORP,GRNDFS|GRUNDFOS
GSM,GSM OUTDOORS|GSM ARIZONA
GUARDIAN DRAIN LOCK,
GUARDIAN EQUIPMENT,GUARDIAN|GARDN
GUARDWAY CORP,GUARDWAY
GUNDER & ASSOC LLC,GUNA|GUNDER
GUY GREY,GUY GRAY|GUYGRAY|GUYGREY
GWTC,GLOBAL WATER TREATMENT
H B FULLER CONSTRUCTION PROD,HBFULLER
H O TRERICE CO,HOTR|HOTRERIC
HACKNEY LADISH INC,HACL
HAFELE AMERICA CO,HAFELE|HAFA
HALLIBURTON ENERGY SERVICES,HALS|HALLIBUR
HALO WATER SYSTEMS LLC,HALO
HALSEY TAYLOR,HLSY TYLR|HALSEY
HAMAT USA INC,HOUZER
HAMILTON BATHWARE,
HAMILTON SALES INC,HAMILTON|HAMS3
HAMMOND VALVE CORP,MILW_VLV|HAMVLV
HANCOR INC,HANDCOR|HAND
HANSGROHE INC,HANSGROHE|HANSGROH|HANSGRO
HARCO,
HARD HAT SAFETY AND GLOVE LLC,HARH3|HARDHAT
HARDICAST,
HARDWARE RESOURCES INC,HARDRES|HARDWARE
HARNEY HARDWARE INC,HARNEY
HARRIS PROD GRP,HARRISPG|HARRIS
HARRIS SUPPLY SOLUTIONS INC,HARS5|HARSUPP
HART & COOLEY INC,HARTCOOL|HARTCOOLEY|HART COOLEY INC
HARVEY,
HAUSNER,HAUSNER'S PRECAST CONCRETE
HAVACO,HAVT|HAVACO
HAWS CORP,Haws CORP|HAWS|HWS|HAWSCORP
HEADWATERS CONST MATERIALS LLC,SOUC11|HEADWTR
HEAT & TREAT,HEATTREAT|HT AND TRT|HEAT AND TREAT|HT & TRT|HEATANDTREAT
HEAT AIR PROD CO,HEATAIR|HAPC
HEAT CONTROLLER INC,HEAC3|HEATCONT
HEAT TRANSFER,HEATTRAN|HEAT5
HEATLINK GRP INC,HEATLINK
HEIL,
HELLERMANN TYTON CORP,HELTYTON|TYTC
HENNESY,HENNESY MECHANICAL|HENNESY EQUIPMENT
HENRY CO,HENS2|HENRYCO
HERCULES,
HESSAIRE,HESS|HESSAIRE
HESTAN,
HIGHSIDE CHEMICALS INC,HIGC|LEAK LOCK|HIGHCHEM
HINKLEY LIGHTING INC,HINKLEY|HINKLEYLIGHTING
HIRSCH,
HISCO INC,HISC|HISCO
HIT TOOLS,
HODELL-NATCO IND INC,
HODELLNATCO IND INC,
HOLDRITE,HOLDRITE
HOLYOKE FITTING INC,HOLYOKE
HOMESTEAD VALVE DIVISION,HOMESTEAD VALVE|HOMESTEA
HOMEWERKS WORLDWIDE,
HONEYWELL INTL INC,GRAI3|HONEYWELL BRAUKMANN|GRAINGER|HONEYWELL
HORIZON DISTRIBUTORS INC,HORIZON|HORZDIST
HOT BOX NFE INC,HOTBOX|HOTB
HOUSTON MFG,HOUSTON CENTER|HOUSTONMFG|HOUSTON TUBULARS|HOUSTON IRRIGATION|HMSI|HOUSTON HOSE & SPECIALTY|HOUSTON FASTENERS
HOUSTON WIPER & MILL SUPPLY CO,HOUWIP|HOUW
HOUZER,HOUZER SINK
HT AIR SYSTEMS,HT AIRSYSTEMS
HTP GRP,HTPROD
HUBBELL,
HUDSON TECH CO,HUDSONT|HUDS
HUDSON VALLEY LIGHTING,HUDSON|HUDSONVALLEY
HUGH M CUNNINGHAM INC,
HUNTER INDUSTRIES,
HY-KO DIRECT THRU MOORE-HAND,HYKO
HY-TECH INVENTIONS INC,HYTE|HYTECH
HYDRA-ZORB,
HYDRAPRO,
HYDRO SYSTEMS,HYDRO|HYDROSYSTM|HYDROSYS
HYDRONIC SYSTEMS,HYDRONICS
HYDROTEK INTL INC,HYDROTEK
HYRDAPRO,HYDP|HYDRAPRO
ICERA LLC,ICERA
ICM CONTROLS CORP,ICMC|ICMCNTRL
ICOOL USA INC,ICOOL
IDEAL CLAMP PROD INC,IDEALCLAMP
IDEAL TAPE CO INC,IDEALTAP
IMCOA,INSULATN
IMPERIAL CAL PROD,IMPERIAL
IN-O-VATE TECH INC,INOVATE|INOV
IN-SINK-ERATOR DIVISION,IN-SINKERATOR|INSINKERATOR|INSINKER|INSINK
INDEPENDENT ELECTRICAL SUPPLY INC,IES
INDUSTRIAL EQUIPMENT CO,INDEQUIP|INDE1
INDUSTRIAL LUBRICATION &,INDLUB|INDL1
INDUSTRIAL SYSTEMS INC,INDSYSINC
INDUSTRIAL THREADED PROD,
INDUSTRIAL VALCO INC,INDVALCO|INDV
INFACT CORP,INFC|INFACT
INFICON INC,INFICON|INFI
INFILTRATOR SYSTEMS INC,INFS|INFILTRATORSYSTEMS
INFINITY DRAINS,INFINITY|INFINITY DRAIN
INSULATING SERVICES INC,INSLSRV
INSULSURE/ATTIC TENT,ATTT|INSULSUR
INTELLIHOT INC,INTELHT
INTER ARCHITECTURAL,INTERARCHITECTURAL
INTERMATIC INC,INTI3|INTERMAT
INTERSTATE ALL BATTERY CENTER,INTA|INTBATT|INTERSTATE
INTL COMFORT PROD LLC,INTL COMFORT PROD COMM|INTL COMFORT PROD|ICP
INTL PRO SOURCE,INTLPRO
INVENSYS CLIMATE CONTROLS,INVENSYS
IO SYSTEMS,IO SYSTEMS|IOSYSTEM
IPEX USA LLC,IPEX_USA|IPEX
IPS CORP,IPSCORP|IPS CORP|IPS WATERTITE
IPS ROOFING PRODUCTS,
IRWIN INDUSTRIAL TOOL CO,IRWIN
ISI COMM REFRIGERATION,ISICOMM|ISIC
J C SUNSHINE SALES INC,JCSU|JCSUNSH
J C UTILITY SALES INC,JCUT|JCUTIL
J E DUNN OF TEXAS,JEDUNN|DUNJ1
J P LAMBORN CO,LAMBORN|J P LAMBORN
J-M MFG CO INC,
J/B IND INC,JB_INDUS|JBII
JACKSON SYSTEMS LLC,JACKSYST|JACS
JACLO IND,JACLO
JAIN IRRIGATION INC,AGRP1|JAIN
JAMES JONES,
JASON INDUSTRIAL,JASONIND|JASON
JASON INTL INC,JASI|JASON INT'L|JASONINT
JAY R SMITH MFG CO,JRSMITH|RSMITH|JR SMITH|JRSMTH|SMITH|JAY R SMITH MFG CO|JAY SMITH|J R SMTH|JAYRSMITH|JAY R SMITH MFG|J R SMITH
JB PROD,
JC WHITLAM MFG,MCKA|MCKINNEY
JCM IND INC,JCM_IND|JCMIND
JEDCO SUPPLY,JEDCO
JEFF STEVENS,JEFFSTEV|JONES_ST
JENN-AIR,JENNAIR
JET STREAM PIPE LIFE,JETS|JETSTRM
JETTA CORP,JETTA
JIM COX SALES INC,COXJ|JIM COX|COXSALES
JJ TOOLS,BG_JJTL
JM EAGLE,JMMC
JMB IND LLC,JMBI|JMBIND
JMF CO,JMFC|JMFCO
JOE R MAYOILFIELD,JOE R MAY OILFIELD
JOHN DEERE LANDSCAPES/LESCO,JHNDEERE|JOHD
JOHN GUEST USA INC,JHNGUEST|JOHNGU
JOHNS MANVILLE INT'L INC,JOHNMANV|MANJ1
JOHNSON CONTROLS INC,JOHNCTRL|JOHNSON-BURKS|JOHNSON COUNTY|JOHC5
JOMAR INTL LTD,JOMAR
JONES STEPHENS CORP,JONESTEP
JONESPEC,JONE|JONESPEC
JOOMLA,
JOSAM CO,JSM|JOSAM
JOSCO PROD,JOSCO
JUNO LIGHTING INC,JUNO_LGT|JUNO
JUST,JST|JST MFG|JUST|JUST MFG CO
JVJ HARDWARE,JVJ_HARD|JVJ
K & K SUPPLY INC,KKSUPPLY|K&K|KKSU|K & K
K-FLEX USA LLC,NOMACO|KFLEX
K-RAIN MFG CORP,KRAM|KRAINMFG
KALAS,
KALLISTA,
KARLSON PRIVATE LABEL,KARLSON
KARP ASSOC INC,KARC|KARPINC
KARTNERS BATHROOM ACCESSORIES,KARTNERS
KASON,KASON IND
KEENEY MFG CO,KEENEY
KELLY PIPE CO LLC,KELP|IMSTLP80
KELLY'S,KELLY
KELVION,
KENNEDY WIRE ROPE & SLING CO,KENW2|KENWAY
KESSLER SALES & DISTRIBUTION,KESSLER|DMSTLP
KICHLER,
KIDDE FIREX,KIDDE
KING BROS INC,KINGBROS|KINGBRO
KING INNOVATION,KINI2|KINGINNO
KINGSTON BRASS INC,KINGSTBR
KISSLER & CO INC,KISSLER
KITCHENAID,KTCHAID
KITZ CORP OF AMERICA,KITZCORP|KITZ
KLEIN TOOLS INC,KLEIN TOOLS|KLEIN|KLEIN_TL
KNIPEX TOOLS LP,KNIP|KNIPEX
KNOX SALES CO,KNOX|KNOXSLS|KNOC
KODIAK CONTROLS INC,KODIAK
KOHLER CO,KOHLER VAULT|KOHL|KOHLER|KHOLER|KOH|KHLR|KOHC_FCT|KHLER
KOLDAIRE SUPPLY CO INC,KOLDAIRE|KOLS
KORKY,
KOSO EARTHQUAKE VALVES,KOSO
KRAUS USA,KRAUS|KRAU
KRAUSZ USA INC,KRAUSZ|HYMAX
KROWNE METAL CORP,KROWNE
KUZCO LIGHTING LLC,KUZCO
KW TOOLS,BG_KWTL
KWIKSET,KWIKSET
L F MFG INC,LFMA|LFMFG
L R NELSON CORP,LRNELSON|NELL1
LA CORNUE,CORNUFE|CORNUE
LA-CO IND INC,LACI|LACO|LA-CO
LAB SECURITY PROD,LABSEC
LACAVA,LACAVA
LADTECH,
LAGASSE JANITORIAL,
LAING THERMOTECH INC,LAIT|LAING
LAMBRO IND INC,LAMI1|LAMBRO
LARRY WUNSCH & ASSOC,WUNL
LARSEN SUPPLY CO INC,LARSEN|LARSEN SUPPLY CO INC
LASALLE AIR SYSTEMS,LASALLE
LASCO FITTINGS INC,ROBS
LAVELLE IND INC,LAVELLE|LAVI
LAWLER MFG CO INC,LAWLER|LWLR|LAWM
LEAD PROD CO INC,LEADPROD|LEADPROD
LEAKSMART,LEAKSMRT
LEDCO DOORS,LEDCO|DYKE_IND
LEGEND VALVE & FITTING INC,LEGENDVALVE|LEGEND
LENOVA INC,LENOVA
LENOX AMERICAN SAW & MANUF,LENOX
LENTUS LLC,
LEONARD VALVE CO,LEONRD VLVE|LEONARD|LEONARD VALVE|LEONRD
LEWIS PIPE CO,LEWISPIP|LEWP
LG ELECTRONICS USA INC,LG_HVAC|LG ELECTRONICS USA INC|LG
LH DOTTIE CO,LH_DOTTI|LHDOTTIE
LIBERTY PUMPS INC,LIBERTY|LIBERTYP|LBRTY PMP|LIBERTY PUMPS
LIFT SAFETY,LIFTSFTY|LIFT_SAF
LINESETS INC,LINI2|LINESETS
LINKASINK,LINK|LINKASINK|LINKASNK
LIPIDEX CORP,LIPIDEX|LIPI
LITTLE FIREFIGHTER CORP,LITTLEFF
LITTLE GIANT FITTINGS CO INC,LITG1|LITGIANT|LTL GNT
LITTLE GIANT HEATER CO,LITHONIA|LITL
LOCHINVAR,LCHNVR
LOGISTICS SUPPLY,
LONESTAR,LONE STAR
LOPEZ UTILITY SUPPLY CO,LOPEZUTL|LOPU
LOUISVILLE LADDER INC,LOUISLAD|LOUL
LOUISVILLE TIN & STOVE CO,LOUISVIL|COZY
LSP PROD GRP,LSP_PROD|LSPPROD
LUCAS-MILHAUPT INC,LUCM2|LUCASMIL
LUMINANCE,
LUX PROD CORP,LUXPROD|LUXP
LYNX GRILLS,LYNX PROFESSIONAL GRILLS|LYNX
M & G DURAVENT INC,DURAVENT
M & H VALVE CO,MH_VALVE|MHVALVE
M & M MFG LLC,M & M|M&M|MMMC|M MFG LLC
M & M SALES INC,MMMFG|MMMA
M & P FLANGE & PIPE PROTECTION,MPFLGPIP|MPFL
MACARTHUR CO,FGINSUL
MACK MCCLAIN & ASSOC INC,
MAGIC PLASTICS INC,MAGICPL|MAGP
MAINLINE BACKFLOW PROD,MAINLINE
MAINSTREAM ENGINEERING CORP,MAINENGN|MAIE2
MAJESTIC STEEL USA INC,MAJESSTL|MAJS1|MAJESTIC
MALCO PROD INC,MALCO TOOLS|MALCO
MANSFIELD PLUMBING PROD,MANSFIX|MANSFIEL
MAPA PROD,MAPA|MAPP
MARK ALLIANCE,IGN_AVAI
MARKAL,
MARKETAIR INC,MARKETAIR|MKTA
MARKETING PRO'S,MARKETING PROS
MARKING SERVICES INC,PIPEMRKR
MARS - MOTORS & ARMATURES INC,MARS|MARS JACKSON
MARSHALL INSTRUMENTS,
MASON IND INC,MASON|MASON-MERCER|MASI1|MASONIND
MASTER COOL,MASTERCOOL
MASTER LOCK CO LLC,MSTRLOCK|MASL
MASTER METER,MSTRMTR|PEPCO|MASM1
MASTERCOOL INC,MAST1|MSTRCOOL
MASTERSEAL,
MATCO NORCA INC,MATCO_NO|MATCOVLV|MATCO-NORCA INC|MATCONORCA INC
MATHESON GAS,MATHESON TRI-GAS|MATHESON TRI GAS
MAXIM LIGHTING,MAXIM_LI|MAXIM
MAXITROL CO,MAXITROL
MAXSTRAPS INC,MAXS1|MAXSTRAP
MAXX US CORP,MAAX US CORP|MAAX|PEAC
MAXXEON INC,MAXXEON
MAYFIELD POOL SUPPLY LP,MAYFIELD|MAYP1
MCC USA INC,MCCUSA|MCCU
MCCARTY EQUIPMENT CO LTD,MCCARTY
MCDANIEL METALS INC,MCDANMTL|MCDANIEL
MCDONNELL & MILLER,
MCELROY MFG INC,MCEM
MCGUIRE MFG CO INC,MCGUIRE|MCCGUIRE|McCGUIRE|MGUIRE|MCCGRE|MCGUIR
MCR SAFETY,
MCWANE DUCTILE,MCWANE
MEDSAFE,MEDS3|MEDSAFE
MEGA WESTERN SALES,MEGAWEST
MERFISH PIPE & SUPPLY LP,MERS
MERIAM PROCESS TECH,MERIAM|MERP
MERIT BRASS,DOMBRLF|MERIT_BR
MERKET IND,MERI|MERKET
MERRILL MFG,
METACAULK,
METAL FAB,BVENT|METALFAB
METAL IND INC,SA_METI4|METALIND
METAL PROD CO,METAL PROD|METALPRO
METAL ZINC LLC,MTLZINC
METAL-FAB INC,
METALLICS INC,METALICS
METCRAFT,MTCRFT
MIAMI TECH INC,MIAMITE|MIAMI_TE
MID WEST GLOVE & SUPPLY INC,MWGLOVE|MIDW2
MID-AMERICAN RESEARCH CHEMICAL,MIDAMRES|MID-AMERICA|MID AMERICA|MIDA1
MIDLAND METAL MFG CO,MIDLMTL|MIDN
MIDLAND MFG CO,MIDLAND MFG CO|MIDM|MIDLMFG
MIDWEST RO/ HOME RO,HOMR|MWHOME
MIDWEST TOOL & CUTLERY CO,MWTOOL
MIDWESTERN INSULATION INC,MWINSUL|MIDI
MIDWESTERN PIPELINE PROD,MWPIPE|MW_PIPE
MIELE,
MIFAB INC,MIFB|MIFAB|MIFAB INC
MIKE RAY MFG INC,MIKERAY|MIKE_RAY
MIL3 INC,MIL3|MILSTEAD SUPPLY
MILCOR,
MILJOCO,
MILLENIUM LIGHTING INC,MILNIUM|MILLENIUM|MILL2
MILLIKEN VALVE CO INC,MILLIKEN
MILWAUKEE ELECTRIC TOOL,MILW_ELE|MILWTOOL|MILWAUKEE ELECTRIC|MILWTL
MILWAUKEE VALVE CO INC,MILVLV|MILWAUKEEVALVE
MILWAUKEE,
MINKA AIRE,MINKA_AI|MINKAIRE|MINKA AIRE
MINKA LIGHTING INC,MINKALAV|MINKA_LA|MINKA
MIRO IND INC,MIROIND|MIRI
MISC COD,
MISSION CLAY PROD,MSNCLAY
MISSION MFG,MISM|MISSN
MISSION RUBBER CO,
MITCHELL METAL PROD,MITCHELL|MITCHMET
MITEK,MITEK
MKM SALES INC,MKMS|MKMSALES
MKT FASTENING LLC,MKTFAST|MKTG
MODERN PROD,MODP
MODINE MFG CO,MODINE|MODM
MOEN INC,MEN|MOEN|MOENFCT
MOEN/CLEVELAND FAUCET GROUP,
MOEN/CREATIVE SPECIALTIES,
MONROE HARDWARE CO INC,CLOSETMA
MONTE CARLO FAN CO,MONT
MORSCO,
MORTEX PROD INC,MORTEX
MOTION & FLOW CONTROL,MOTION
MOUNTAIN PLUMBING PROD,MOUNTAIN PLUMBING
MOUSER ELECTRONICS,MOUSER
MSD RESEARCH INC,MSDR|MSDRSCH
MTI WHIRLPOOLS INC,MTIWHI|MTI
MTS THREADED PROD CO,MTST|MTSTHRD
MUELLER IND INC,MUEB
MUELLER STEAM,MUELSTM|MUES
MUELLER STREAMLINE CO,MUELLER STREAMLINE
MUELLER SYSTEMS,HERSEY|MUEL_SYS|MUELLER SYSTEMS
MULTI FITTINGS CORP,MULF|MULTIFIT
MURDOCK SUPER SECUR LLC,MRDCK
MURRAY FEISS IMPORT LLC,MURYFEIS|MURRAYFEISS
MYERS,MYRS
N WASSERSTROM AND SONS,N WASSERSTROM & SONS
NACIP,NORTH AMERICAN CAST
NAMEEKS,NMEKS
NANTUCKET SINKS USA,NANS|NANTUCKT|NANTUCKET
NATIONAL OILWELL VARCO LP,MISO|NATOILV
NATIVE TRAILS,NATIVE|NATIVTRL
NAVAC GLOBAL,NAVAC
NAVIEN AMERICA INC,NAVIEN|NAVIVENT|NVN
NDA DISTRIBUTORS,NDA|NDADIST
NDS INC,NDS
NEBO,
NELCO PROD INC,NELCO|NELC
NELSON WOOD SHIMS,
NEENAH FOUNDRY,
NEOPERL INC,NEOI|NEOPERL
NEPTUNE TECHNOLOGY GRP INC,NEPTUNE|SCHR1
NEST LABS INC,NEST|NEST LAB
NEUCO INC,NEUCO
NEUTRASAFE,
NEW CONSTRUCTION SOLUTIONS,
NEW HORIZON SALES,PLAS_TRE|CPVC80F
NEWAGE,NEWAGE
NEWCO,NEWCO
NEWPORT BRASS - GINGER,GINGER|NEWPORT|NEWPORT BRASS
NIAGRA,NIAGARA
NIBCO,NIBCO|NIBVLV|NIBCO INC
NIDEC MOTOR CORP,NIDM|NIDEC
NISCO - NAT'L INSTRUMENT SUPPL,WEII1|WEISS|NISCO
NIX MFG,NIXMFG|NIXM
NOBLE CO,NOBC|NOBLECO
NOMACO INSULATION,
NORA LIGHTING INC,NORALITG|NORL3
NORDYNE INC,NORDYNE
NORITZ AMERICA CORP,NORITZ|NRTZ
NORMA,
NORTH AMERICAN PIPE CORP,NAPIPECO|SDRBLOCK
NORTH AMERICAN PROCUREMENT CO,NORA6
NORTH STAR WATER CONDITIONING,NSTARWTR
NORTHSTAR IND,NORI1|NSTARIND
NORTHSTAR TOOLS INC,NORT8|NSTARTL
NORTHTOWN CO,NORC
NORTON MCMURRAY MFG CO,NORM3|NORTMCM
NORWECO,
NORWESCO INC,NORWESCO
NOV WILSON LP,WILI1
NOVAFLEX,
NPS IND,NPSI|NPSIND
NSI IND LLC,NSI|NSII|NSIINDUSTRIES
NTI BOLIERS,
NU-CALGON WHOLESALER INC,NUCALGON|NU CALGON|NUCAL
NUGEN PURE WATER SYSTEMS,NUGEN
NUMEX PLASTICS INC,NUMP|NUMEX
NUPI AMERICAS INC (NIRON),NUPI|NIRON|NUPI AMERICAS INC NIRON
NUVIK USA INC,NUVIK
NUVO H2O,NUVO
NUVO LIGHTING,
NY THERMAL INC,NYTHRML|NYTH
O C KECKLEY CO,KECKLEY
OAKVILLE STAMPING & BENDING LTD,OSB|OAKVILLE STAMPING BENDING LTD
OASIS,OASISCOOLERS|OASIS COOLERS|OASIS INTL
OATEY SUPPLY CHAIN SRVCS INC,OTY|OATEY
OCEANA LLC,OCEANA|OCEANA LLC
ODD BALL,ODDBALL
OEM PROD INC,OEMPROD|OEMP
OLDCASTLE PRECAST INC,BROP|OLDCSTL
OLIVERI,OLIVERI
OLYMPIA FAUCETS,OLMPA FCT|OLYMPIA
OMEGAFLEX INC,OMEGA|OMEGAFLEX|OMEGAFLX|TRACPIPE
OMNIPURE,
ONICON,
ORAS ETERNA,ETERNA|ORAS
ORION ENT INC,ORION
ORS NASCO INC,ORS_NASC|ORSNASCO
OSHKOSH FIRE & POLICE,OSHKOSH|OSHF|OSHKOSH FIRE POLICE
OSLIN NATION CO,ITRON|OSLINNATION|OSLIN|OSLNNATN
OUBO HARDWARE,BG_OUBO
OUTDOOR SHOWER CO LLC,OUTDRSHW|POOS
OVERHEAD DOOR CO/GARDEN CITY,OVED18|OVERHD
OWENS CORNING SALES LLC,OWENSCORNING|OWCORN|OWEN_COR
OZARKA SPRING WATER CO,OZAR|OZARKA
P & M MFG CO,PMMA|PMMFG
P W EAGLE PLASTICS CO,PWEAGLE|UPOE
P-TEC PROD INC,PTEC
PAC-FAS,PACFAS|PACF
PACE INC,PMISALES|PACEMACH
PACIFIC ECHO,PACE
PACIFIC PLASTICS,
PACIFIC SEISMIC PROD,PACIFIC SEISMIC
PACKARD INC,PACK|PACI1
PAIGE ELECTRIC CO LP,PAIE|PAIGE
PALMERS PLASTICS,
PAMEX INC,PAMEX
PAMREX,
PANASONIC CORP OF NA,PANA|PANASONC|PANASONIC
PARAGON BUILDING PROD,AGGREGAT|CEMENTS
PARKER HANNIFIN,PARKER_H|PARKHAN
PARTS MASTERS,PARTSMASTERS|APM_SUPL|PRTSMSTR
PASCO SPECIALTY & MFG INC,PASCO|PASCO SPECIALTY MFG INC
PCI IND,PCI|PCII
PECO FASTENERS,PECOFAST|PECO_FAS
PEERLESS,PRLS
PEGLER LTD/ATTN: ACCT DEPT,PEGLER|PEGL
PENTAIR WATER,PENTAIR|AMERICAN PLUMBER
