MATERIAL,ABBRS
"""WATER, OIL, GAS""",WOG
ABS DWV,ABSDWV|ADWV|ABS-DWV
ACRYLONITRILE BUTADIENE STYRENE,ABS|ABSDWV|ADWV|ABS-DWV
BI-METAL,BIMETAL|BIMETAL
BLACK CAST IRON,BLK CI
BLACK MALLEABLE,BM|BLK MAL|BMI
BLACK STEEL,BLK STL
BRASS,BRS|BR
BRONZE,BRZ
CARBON,CRBN
CAST IRON,CI
CEMENT,CMNT
CHLORINATED POLYVINYL CHLORIDE,CPVC|CHLORINATED POLY|CHLORINATED POLY VINYL CHLORIDE
CHROME PLATED,CP
CONCRETE,CONC
COPOLYMER,NDS|HDPE
COPPER,COP
CROSS-LINKED POLYETHYLENE,PEX|PE-X|F1960|PLASTIC|POLYMER|PE X|XPE|XLPE
CROSS-LINKED POLYETHYLENE,PEX|PE-X|PE X
DEZINCIFICATION,DZR
DOMESTIC BLACK MALLEABLE,DBM
DOMESTIC,DOM
EPDM,POLY-ETHYLENE PROPYLENE DIENE MONOMER
FIBERGLASS REINFORCED PLASTIC,FRP|FIBRE-REINFORCED PLASTIC
FIBERGLASS,FIBERGLS
FLUOROELASTOMER,FKM
FORGED STEEL,FG|FS
GALVANIZED,GAL|GALV|GLV
GELCOAT,GEL COAT
HIGH DENSITY POLYETHYLENE,HDPE|HD PE
HIGH-SPEED STEEL,HSS
LEAD FREE,LF
LINEAR LOW DENSITY POLYETHYLENE,LLDPE|LLD PE
LOW DENSITY POLYETHYLENE,LDPE|LD PE
MALLEABLE IRON,MI
MALLEABLE,MAL
MEDIUM DENSITY POLYETHYLENE,MDPE|MP PE
METAL,MTL
NATURAL,NAT
PLASTIC,PLAS|PLST|PLS|PL
POLY,PLY
POLYETHYLENE OF RAISED TEMPERATURE,PERT|PE-RT
POLYETHYLENE PROPYLENE DIENE MONOMER/POLY-STYRENE BUTADIENE RUBBER,EPDM-SBR|EPDM/SBR
POLYETHYLENE,PE
POLYPROPYLENE,PP
POLYSTYRENE BUTADIENE RUBBER,SBR
POLYTETRAFLUOROETHYLENE,PTFE
POLYVINYL CHLORIDE,PVC|POLY VINYL CHLORIDE|PVCPOLY|VC
RUBBER,RUB
SEAMLESS STEEL,SMLS STEEL
SERVICE WEIGHT,SV
SPRAY IN STAINLESS,SS
STAINLESS STEEL NOT SOCKET,XSS
STAINLESS STEEL,SSS|SS|STAINLESS
STEEL PLATE HEAT COMMERCIAL,SPHC
STEEL,STL
ULTRAVIOLET,UV
UNIFIED NUMBERING SYSTEM,UNS
VINYL,VYNL
WOOD,WOODEN
ZINC,ZNC