role_id,permission_id
2419358e-5c74-4d07-a8d2-37c324afbe6c,fcbd6d52-a607-4029-ac1f-051ffc7b3d2b
2419358e-5c74-4d07-a8d2-37c324afbe6c,09df3dbd-db77-4a17-9432-61fddf9ed955
2419358e-5c74-4d07-a8d2-37c324afbe6c,45b9b6b5-e6cf-4ab4-9237-a38d71fa3fa2
2419358e-5c74-4d07-a8d2-37c324afbe6c,3bc6775f-113b-4671-a3ee-76cb64b9a82f
2419358e-5c74-4d07-a8d2-37c324afbe6c,252767d4-5a23-4900-aeeb-f98569148e78
2419358e-5c74-4d07-a8d2-37c324afbe6c,1c777678-5305-45aa-a177-7aa659d18af7
d59d29fd-5ae1-46d4-8739-bb06440bc685,67d3abda-a8f3-4534-8858-735cf3272c06
d59d29fd-5ae1-46d4-8739-bb06440bc685,362dbb37-2fbc-4d25-becf-84d183170272
d59d29fd-5ae1-46d4-8739-bb06440bc685,6477e056-8cf5-4f2d-85bd-16375e14cbe4
d59d29fd-5ae1-46d4-8739-bb06440bc685,fcbd6d52-a607-4029-ac1f-051ffc7b3d2b
d59d29fd-5ae1-46d4-8739-bb06440bc685,09df3dbd-db77-4a17-9432-61fddf9ed955
d59d29fd-5ae1-46d4-8739-bb06440bc685,21d11eb9-94e0-43ff-be2e-f2c558c4bcae
d59d29fd-5ae1-46d4-8739-bb06440bc685,d7c5e59d-0738-4ae8-afd1-da00154f5fa2
d59d29fd-5ae1-46d4-8739-bb06440bc685,d70cb26a-a885-42c4-b58c-da51be59fde6
d59d29fd-5ae1-46d4-8739-bb06440bc685,e3a81120-6102-4d8f-b3cd-ea5a717057a1
d59d29fd-5ae1-46d4-8739-bb06440bc685,45b9b6b5-e6cf-4ab4-9237-a38d71fa3fa2
d59d29fd-5ae1-46d4-8739-bb06440bc685,3bc6775f-113b-4671-a3ee-76cb64b9a82f
fc10ca28-33e1-4748-ba3f-45655bbf1fdd,67d3abda-a8f3-4534-8858-735cf3272c06
fc10ca28-33e1-4748-ba3f-45655bbf1fdd,362dbb37-2fbc-4d25-becf-84d183170272
fc10ca28-33e1-4748-ba3f-45655bbf1fdd,6477e056-8cf5-4f2d-85bd-16375e14cbe4
fc10ca28-33e1-4748-ba3f-45655bbf1fdd,fcbd6d52-a607-4029-ac1f-051ffc7b3d2b
fc10ca28-33e1-4748-ba3f-45655bbf1fdd,09df3dbd-db77-4a17-9432-61fddf9ed955
fc10ca28-33e1-4748-ba3f-45655bbf1fdd,21d11eb9-94e0-43ff-be2e-f2c558c4bcae
fc10ca28-33e1-4748-ba3f-45655bbf1fdd,d7c5e59d-0738-4ae8-afd1-da00154f5fa2
fc10ca28-33e1-4748-ba3f-45655bbf1fdd,d70cb26a-a885-42c4-b58c-da51be59fde6
fc10ca28-33e1-4748-ba3f-45655bbf1fdd,e3a81120-6102-4d8f-b3cd-ea5a717057a1
fc10ca28-33e1-4748-ba3f-45655bbf1fdd,fc75de3a-0187-45a0-86fe-4509aad9bff9
fc10ca28-33e1-4748-ba3f-45655bbf1fdd,6d9d9449-d42a-4595-ae38-a1c02516c0cc
fc10ca28-33e1-4748-ba3f-45655bbf1fdd,f9c68729-2e18-4a4d-8bc7-61516c944df3
fc10ca28-33e1-4748-ba3f-45655bbf1fdd,ca46736e-ce75-4e24-ac43-cc872ad1e51b
fc10ca28-33e1-4748-ba3f-45655bbf1fdd,7a573b82-8e59-4fc2-b02d-a35e2336734e
fc10ca28-33e1-4748-ba3f-45655bbf1fdd,e9f81cd9-50f8-412a-8688-4ca450edf5f3
fc10ca28-33e1-4748-ba3f-45655bbf1fdd,fc5f03dc-c884-4ec7-a6c7-aef1d3d12296
fc10ca28-33e1-4748-ba3f-45655bbf1fdd,45b9b6b5-e6cf-4ab4-9237-a38d71fa3fa2
fc10ca28-33e1-4748-ba3f-45655bbf1fdd,3bc6775f-113b-4671-a3ee-76cb64b9a82f
dd080d8d-b537-4531-bdab-f23268b39e12,67d3abda-a8f3-4534-8858-735cf3272c06
dd080d8d-b537-4531-bdab-f23268b39e12,362dbb37-2fbc-4d25-becf-84d183170272
dd080d8d-b537-4531-bdab-f23268b39e12,6477e056-8cf5-4f2d-85bd-16375e14cbe4
dd080d8d-b537-4531-bdab-f23268b39e12,fcbd6d52-a607-4029-ac1f-051ffc7b3d2b
dd080d8d-b537-4531-bdab-f23268b39e12,09df3dbd-db77-4a17-9432-61fddf9ed955
dd080d8d-b537-4531-bdab-f23268b39e12,21d11eb9-94e0-43ff-be2e-f2c558c4bcae
dd080d8d-b537-4531-bdab-f23268b39e12,d7c5e59d-0738-4ae8-afd1-da00154f5fa2
dd080d8d-b537-4531-bdab-f23268b39e12,d70cb26a-a885-42c4-b58c-da51be59fde6
dd080d8d-b537-4531-bdab-f23268b39e12,e3a81120-6102-4d8f-b3cd-ea5a717057a1
dd080d8d-b537-4531-bdab-f23268b39e12,fc75de3a-0187-45a0-86fe-4509aad9bff9
dd080d8d-b537-4531-bdab-f23268b39e12,6d9d9449-d42a-4595-ae38-a1c02516c0cc
dd080d8d-b537-4531-bdab-f23268b39e12,f9c68729-2e18-4a4d-8bc7-61516c944df3
dd080d8d-b537-4531-bdab-f23268b39e12,ca46736e-ce75-4e24-ac43-cc872ad1e51b
dd080d8d-b537-4531-bdab-f23268b39e12,7a573b82-8e59-4fc2-b02d-a35e2336734e
dd080d8d-b537-4531-bdab-f23268b39e12,e9f81cd9-50f8-412a-8688-4ca450edf5f3
dd080d8d-b537-4531-bdab-f23268b39e12,fc5f03dc-c884-4ec7-a6c7-aef1d3d12296
dd080d8d-b537-4531-bdab-f23268b39e12,45b9b6b5-e6cf-4ab4-9237-a38d71fa3fa2
dd080d8d-b537-4531-bdab-f23268b39e12,3bc6775f-113b-4671-a3ee-76cb64b9a82f